正面,背面,标签
CT图像重建方法?,"1. 滤波反投影(FBP)<br>2. 迭代重建<br>3. 深度学习重建<br>4. 压缩感知",医学影像::方法
什么是迭代重建?,"优化问题求解<br>正则化约束<br>降低剂量<br>计算量大",医学影像::方法
低剂量CT去噪?,"剂量降低→噪声增加<br>TV正则化<br>深度学习方法<br>保持诊断质量",医学影像::应用
MRI加速采集的方法?,"1. 并行成像<br>2. 压缩感知<br>3. 深度学习重建<br>4. k空间欠采样",医学影像::方法
什么是k空间?,"傅里叶空间<br>MRI原始数据<br>欠采样加速<br>零填充插值",医学影像::概念
压缩感知MRI?,"稀疏变换<br>TV正则化<br>非线性重建<br>欠采样恢复",医学影像::方法
深度学习MRI重建?,"端到端网络<br>数据驱动先验<br>unrolled优化<br>U-Net/VarNet",医学影像::方法
什么是器官分割?,"提取特定器官区域<br>体积测量<br>手术规划<br>放疗靶区",医学影像::应用
脑肿瘤分割的挑战?,"- 边界不规则<br>- 水肿区<br>- 多模态融合<br>- 分级差异",医学影像::概念
BraTS数据集是什么?,"脑肿瘤分割挑战<br>多模态MRI<br>像素级标注<br>年度比赛",医学影像::资源
心脏分割的应用?,"1. 心功能评估<br>2. 心室体积<br>3. 射血分数<br>4. 形态分析",医学影像::应用
什么是血管分割?,"提取血管结构<br>管状结构检测<br>拓扑保持<br>MRA/CTA",医学影像::应用
肺部结节检测流程?,"1. 肺实质分割<br>2. 候选检测<br>3. 假阳性剔除<br>4. 分类",医学影像::应用
LUNA16数据集是什么?,"肺结节检测挑战<br>CT扫描<br>结节标注<br>评估指标:CPM",医学影像::资源
病理图像分析的特点?,"- 超大图像(10亿像素)<br>- 多尺度<br>- 颜色归一化<br>- 弱监督",医学影像::概念
WSI处理的策略?,"1. 切片<br>2. 多尺度金字塔<br>3. 流式读取<br>4. 空间索引",医学影像::方法
什么是注意力机制在医学分割的应用?,"聚焦病灶<br>抑制背景<br>Squeeze-Excitation<br>CBAM",医学影像::方法
Transformer在医学影像的应用?,"Swin-UNet<br>TransUNet<br>全局上下文<br>长程依赖",医学影像::方法
模型不确定性估计?,"Monte Carlo Dropout<br>Deep Ensemble<br>贝叶斯神经网络<br>临床决策支持",医学影像::方法
医学AI的评估指标?,"1. Dice系数<br>2. Hausdorff距离<br>3. 表面距离<br>4. 临床指标",医学影像::概念
Dice系数的计算公式?,"Dice = 2|X∩Y|/(|X|+|Y|)<br>重叠度量<br>0-1范围<br>1为完美匹配",医学影像::公式
Hausdorff距离是什么?,"h(A,B) = max(min d(a,b))<br>最远点距离<br>边界精度<br>对离群点敏感",医学影像::概念
医学AI临床部署的挑战?,"1. 监管审批<br>2. 可解释性<br>3. 泛化能力<br>4. 工作流集成",医学影像::概念
FDA批准的AI诊断工具有哪些?,"IDx-DR: 糖尿病视网膜病变<br>Lung Cancer Alert<br>Cardiologs: 心电图<br>越来越多",医学影像::应用
