正面,背面,标签
NeRF的渲染公式是什么?,"C(r) = ∫T(t)σ(t)c(t)dt<br>T(t) = exp(-∫σ(s)ds)<br>光线累积<br>可微渲染",3D视觉::公式
NeRF的训练过程?,"1. 采样光线<br>2. 查询网络<br>3. 体积渲染<br>4. 与真实图比较<br>5. 反向传播",3D视觉::方法
Instant-NGP的改进是什么?,"哈希编码<br>小MLP<br>实时训练<br>秒级收敛",3D视觉::方法
什么是3D Gaussian Splatting?,"3D高斯基元<br>光栅化渲染<br>实时高质量<br>可微优化",3D视觉::方法
3DGS的表示优势?,"- 显式表示<br>- 高效光栅化<br>- 质量高<br>- 编辑友好",3D视觉::概念
MVS是什么?,"Multi-View Stereo<br>多视图立体重建<br>稠密点云<br>COLMAP流程",3D视觉::概念
MVSNet的原理?,"3D代价体<br>可微单应性<br>深度回归<br>端到端",3D视觉::方法
什么是代价体?,"匹配代价的3D体<br>深度假设×高×宽<br>匹配质量度量<br>深度推断基础",3D视觉::概念
深度图融合的步骤?,"1. 多视图深度估计<br>2. 一致性检查<br>3. 点云合并<br>4. 网格重建",3D视觉::方法
TSDF是什么?,"Truncated Signed Distance Function<br>截断符号距离<br>体素网格<br>融合多帧",3D视觉::方法
Marching Cubes是什么?,"等值面提取<br>体素→三角网格<br>查表法<br>经典算法",3D视觉::方法
什么是泊松重建?,"Poisson Surface Reconstruction<br>求解泊松方程<br>全局优化<br>光滑表面",3D视觉::方法
网格简化的方法?,"1. QEM (Quadric Error)<br>2. 边折叠<br>3. 顶点聚类<br>LOD生成",3D视觉::方法
纹理映射是什么?,"图像贴到网格<br>UV展开<br>光照一致<br>照片真实感",3D视觉::概念
什么是摄影测量?,"照片→3D模型<br>Structure from Motion<br>商业软件: Metashape<br>文化保护应用",3D视觉::应用
SfM的流程是什么?,"1. 特征提取<br>2. 特征匹配<br>3. 几何验证<br>4. 增量重建<br>5. BA优化",3D视觉::方法
COLMAP是什么?,"开源SfM/MVS工具<br>增量/全局重建<br>GPU加速<br>学术标准",3D视觉::工具
6DoF位姿估计是什么?,"3D旋转+3D平移<br>物体空间定位<br>机器人抓取<br>BOP基准",3D视觉::概念
位姿估计的方法?,"1. PnP求解<br>2. 模板匹配<br>3. 学习方法<br>4. 对称处理",3D视觉::方法
什么是PnP问题?,"Perspective-n-Point<br>已知3D-2D对应<br>估计相机位姿<br>EPnP, DLS求解器",3D视觉::方法
RANSAC在3D视觉中的作用?,"外点剔除<br>鲁棒估计<br>迭代采样<br>基础矩阵/单应性",3D视觉::方法
