正面,背面,标签
Huber-TV是什么?,"混合L2-L1范数<br>小梯度: L2 (光滑)<br>大梯度: L1 (TV)<br>避免阶梯效应<br>平滑处理平坦区域",变分方法::概念
什么是阶梯效应(Staircase Effect)?,"TV去噪的常见伪影<br>平滑区域出现假边缘<br>形成阶梯状伪轮廓<br>Huber-TV可缓解",变分方法::概念
如何缓解阶梯效应?,"1. 高阶TV (TGV)<br>2. Huber-TV<br>3. 非局部TV<br>4. 自适应TV权重",变分方法::方法
什么是TGV (Total Generalized Variation)?,"TGV²_α(u) = α₁∫|∇u - v|dx + α₂∫|∇v|dx<br>二阶广义全变分<br>同时惩罚一阶和二阶导数<br>更好地保持光滑区域",变分方法::概念
ROF模型的凸性有什么意义?,"- 全局最优解<br>- 不依赖初始化<br>算法收敛保证<br>理论分析完善",变分方法::概念
什么是TV的次微分?,"∂TV(u) = {-div(p): p = ∇u/|∇u|, |∇u|>0}<br>在∇u=0处是多值的<br>非光滑优化的核心概念<br>用于构造最优性条件",变分方法::概念
Split Bregman迭代公式是什么?,"u^k+1 = argmin ||d^k - ∇u - b^k||² + λ||f-u||²<br>d^k+1 = shrink(∇u^k+1 + b^k, 1/λ)<br>b^k+1 = b^k + ∇u^k+1 - d^k+1",变分方法::公式
Shrinkage函数是什么?,"shrink(x, τ) = sign(x)·max(|x|-τ, 0)<br>软阈值算子<br>L1近端算子<br>TV优化的核心操作",变分方法::公式
什么是近端梯度法?,"x^k+1 = prox_{τg}(x^k - τ∇f(x^k))<br>处理f+g的复合优化<br>f光滑，g非光滑<br>TV问题中g=TV",变分方法::方法
ROF模型的参数λ如何选择?,"- 人工调参<br>- 交叉验证<br>- L-curve方法<br>- 基于噪声统计<br>λ越大越接近原图",变分方法::方法
什么是Morozov偏差原理?,"选择λ使||u-f|| = δ<br>δ: 噪声水平<br>平衡拟合与正则化<br>客观的参数选择准则",变分方法::概念
TV去噪的计算复杂度是多少?,"- Chambolle: O(N) 每次迭代<br>- Split Bregman: O(N)<br>- 总迭代数取决于λ<br>- 实际: O(50-200)次迭代",变分方法::概念
什么是Preconditioning加速?,"对PDE使用预条件子<br>加快收敛速度<br>常用: FFT-based预条件<br>对角预条件",变分方法::方法
TV在图像修复中的应用?,"min_u TV(u) + λ||u-f||²₂<br>在已知区域约束<br>未知区域由TV填充<br>保持边缘连续性",变分方法::应用
什么是加权TV?,"TV_w(u) = ∫w(x)|∇u|dx<br>w(x): 空间自适应权重<br>边缘处权重小<br>平坦区域权重大",变分方法::概念
TV与稀疏性的关系是什么?,"TV = L1范数在梯度域<br>促进梯度稀疏<br>分段常数图像<br>与压缩感知理论相关",变分方法::概念
什么是非局部TV?,"NLTV(u) = ∫∫w(x,y)|u(x)-u(y)|dydx<br>利用图像自相似性<br>更好的纹理保持<br>计算量更大",变分方法::概念
ROF模型的解存在性如何保证?,"BV空间完备<br>能量泛函强制<br>下半连续<br>直接法证明存在性",变分方法::概念
什么是Gamma收敛?,"能量泛函序列的收敛概念<br>保证最小化子收敛<br>近似理论的工具<br>用于分析离散化",变分方法::概念
TV的有限差分离散化是什么?,"TV_h(u) = Σ√((u_i+1,j - u_i,j)² + (u_i,j+1 - u_i,j)²)<br>前向差分<br>O(h)精度<br>简单但可能产生网格偏差",变分方法::公式
TV的有限元离散化是什么?,"在三角网格上定义TV<br>使用分片线性函数<br>更好的几何适应性<br>适合复杂区域",变分方法::方法
什么是TV的凸松弛?,"将非凸问题松弛为凸问题<br>例: 二值分割→Chan-Vese<br>保证全局最优<br>凸优化的核心思想",变分方法::概念
Chan-Vese模型的TV形式是什么?,"min_u TV(u) + λ∫(u-c₁)²H(u) + (u-c₂)²(1-H(u))<br>H: Heaviside函数<br>两相分割<br>凸松弛后可全局优化",变分方法::公式
什么是Mumford-Shah泛函?,"E(u,K) = ∫_Ω\K |∇u|²dx + λ∫_Ω(u-f)²dx + μ|K|<br>K: 边缘集合<br>分割和去噪统一<br>数学上困难(非凸)",变分方法::概念
Ambrosio-Tortorelli逼近是什么?,"用椭圆逼近Mumford-Shah<br>引入相场变量v<br>|K| ≈ ε|∇v|² + (1/4ε)(1-v)²<br>Γ-收敛到MS泛函",变分方法::方法
什么是水平集方法?,"用隐函数φ表示边界<br>C = {x: φ(x) = 0}<br>演化PDE驱动φ<br>自动处理拓扑变化",变分方法::方法
TV在图像去模糊中的应用?,"min_u TV(u) + λ||Au-f||²₂<br>A: 模糊算子<br>TV约束稳定化逆问题<br>边缘保持去模糊",变分方法::应用
什么是Bregman迭代?,"u^k+1 = argmin D_E^p(u^k, u)<br>D_E: Bregman距离<br>改善正则化偏差<br>逐步恢复细节",变分方法::方法
线性化Bregman迭代公式是什么?,"u^k+1 = τ·shrink(f - Au^k + v^k, λ)<br>v^k+1 = v^k + f - Au^k - u^k+1/τ<br>简单高效<br>适合大规模问题",变分方法::公式
什么是Split Bregman?,"Bregman迭代的分裂形式<br>分离L1和L2项<br>每个子问题有闭式解<br>高效处理复合优化",变分方法::方法
TV在CT重建中的应用?,"min_u TV(u) s.t. Au = f<br>A: Radon变换<br>TV约束改善欠采样重建<br>压缩感知CT的基础",变分方法::应用
什么是ROI重建?,"感兴趣区域重建<br>只重建部分区域<br>减少数据需求<br>TV正则化使问题适定",变分方法::应用
TV的变分形式有什么优势?,"- 物理意义清晰<br>- 数学理论完善<br>- 数值方法丰富<br>- 可扩展性强",变分方法::概念
什么是Primal-Dual方法?,"同时优化原问题和对偶问题<br>(x^k+1, y^k+1) = PD(x^k, y^k)<br>收敛快<br>适合非光滑问题",变分方法::方法
Chambolle-Pock算法是什么?,"经典的Primal-Dual算法<br>x^k+1 = prox_f(x^k - τK*y^k)<br>y^k+1 = prox_g*(y^k + σKx̄^k+1)<br>O(1/k)收敛率",变分方法::方法
什么是强凸性加速?,"当目标函数强凸时<br>线性收敛率<br>Chambolle-Pock加速版<br>O(1/k²)→O(exp(-k))",变分方法::方法
TV在MRI重建中的应用?,"min_u TV(u) + λ||Fu-f||²₂<br>F: 傅里叶采样<br>加速MRI扫描<br>压缩感知MRI的核心",变分方法::应用
什么是多尺度TV?,"在不同尺度计算TV<br>金字塔结构<br>捕获不同尺度特征<br>改善全局结构",变分方法::概念
TV与L2正则化的区别是什么?,"TV: 边缘保持，分段常数<br>L2: 光滑，可能模糊边缘<br>TV非光滑<br>L2光滑可微",变分方法::对比
什么是Group TV?,"向量值图像的TV<br>TV(u) = ∫√(Σ|∇u_i|²)dx<br>通道间耦合<br>彩色图像处理",变分方法::概念
TV在视频处理中的应用?,"时空TV: TV(u) = ∫√(|∇_xu|² + |∇_tu|²)dxdt<br>同时处理空间和时间<br>视频去噪和去模糊",变分方法::应用
什么是Infimal Convolution TV?,"TV₁ □ TV₂ = inf_x {TV₁(u-x) + TV₂(x)}<br>组合不同TV<br>更灵活的正则化<br>处理多特征",变分方法::概念正面,背面,标签
SLaT三阶段分割方法是什么?,"1. Smoothing: ROF变分平滑<br>2. Lifting: RGB+Lab维度提升<br>3. Thresholding: K-means阈值<br>创新: 双色彩空间融合<br>发表: IEEE TIP 2015",图像分割::论文
ROF与Mumford-Shah的主要区别是什么?,"ROF: 去噪，凸优化，连续输出<br>Mumford-Shah: 分割，非凸，分段常数输出<br>ROF是预处理工具<br>MS是分割框架",图像分割::对比
什么是Chan-Vese模型?,"min E = μ|C| + ∫_inside(c₁-f)² + ∫_outside(c₂-f)²<br>基于区域的主动轮廓<br>不依赖边缘梯度<br>水平集实现",图像分割::方法
水平集方法的优缺点是什么?,"优点: 拓扑自动变化，数值稳定<br>缺点: 计算量大，需要重初始化<br>适合复杂形状<br>隐式边界表示",图像分割::对比
什么是Graph Cut分割?,"将分割转化为图论最小割问题<br>能量: E = ΣD_p + ΣV_pq<br>数据项+平滑项<br>多项式时间全局最优",图像分割::方法
Graph Cut与水平集的区别是什么?,"Graph Cut: 离散，全局最优，固定拓扑<br>水平集: 连续，局部最优，可变拓扑<br>Graph Cut需要网格图<br>水平集需要PDE求解器",图像分割::对比
什么是GrabCut算法?,"交互式前景提取<br>迭代Graph Cut<br>GMM颜色模型<br>用户标注矩形框",图像分割::方法
Normalized Cut是什么?,"Shi & Malik提出<br>Ncut = cut(A,B)/assoc(A,V) + cut(A,B)/assoc(B,V)<br>平衡割的大小<br>特征向量近似求解",图像分割::方法
什么是Mean Shift分割?,"基于核密度估计<br>迭代寻找模式<br>无需指定类别数<br>自动聚类",图像分割::方法
分水岭算法的原理是什么?,"将图像视为地形<br>水从低到高淹没<br>不同流域汇合处为分割<br>易过分割",图像分割::方法
如何缓解分水岭过分割?,"1. 标记控制<br>2. 预处理平滑<br>3. 区域合并<br>4. 多尺度方法",图像分割::方法
什么是Otsu阈值分割?,"最大化类间方差<br>σ²_b = ω₁ω₂(μ₁-μ₂)²<br>自动选择阈值<br>适合双峰直方图",图像分割::方法
自适应阈值与全局阈值的区别?,"全局: 整图一个阈值<br>自适应: 局部窗口计算阈值<br>自适应处理不均匀光照<br>计算量更大",图像分割::对比
什么是区域生长算法?,"从种子点开始<br>根据相似性扩展<br>迭代直到收敛<br>需要人工种子",图像分割::方法
区域分裂合并算法是什么?,"递归四叉树分裂<br>相似区域合并<br>无需种子点<br>可能产生块效应",图像分割::方法
SLIC超像素的原理是什么?,"Simple Linear Iterative Clustering<br>在5D空间聚类(labxy)<br>紧凑的超像素<br>实时处理",图像分割::方法
超像素的评估指标有哪些?,"1. 边界召回率 (Boundary Recall)<br>2. 欠分割错误率 (Under-segmentation Error)<br>3. 可达分割准确度 (ASA)<br>4. 紧凑度",图像分割::概念
什么是活动轮廓模型(Active Contour)?,"Snakes模型: 能量最小化曲线<br>E = E_int + E_ext + E_con<br>内部力(光滑)+外部力(边缘)<br>对初始化敏感",图像分割::方法
活动轮廓的梯度向量流(GVF)是什么?,"扩展捕获范围<br>扩散边缘梯度<br>进入凹区域<br>Xu & Prince提出",图像分割::方法
什么是Distance Regularized Level Set?,"DRLSE<br>避免重初始化<br>距离正则化项<br>稳定数值演化",图像分割::方法
什么是窄带水平集?,"只在零水平集附近计算<br>大幅减少计算量<br>需要定期重新初始化<br>工业标准方法",图像分割::方法
多相分割与两相分割的区别?,"两相: 前景/背景<br>多相: 多个区域<br>需要多个水平集函数<br>Vese-Chan模型",图像分割::对比
什么是凸松弛分割?,"将非凸分割问题松弛为凸问题<br>二值变量→[0,1]连续<br>全局最优或强近似<br>阈值化得到分割",图像分割::方法
凸松弛的阈值定理是什么?,"凸松弛解u*∈[0,1]<br>对任意μ∈(0,1)<br>Σ_u*≥μ是原问题的近似解<br>保证阈值化有效",图像分割::概念
什么是连续最大流?,"Continuous Max-Flow<br>P(流) ≤ C(割)<br>强对偶成立<br>与Graph Cut等价",图像分割::方法
Yuan等人的连续最大流算法是什么?,"对偶形式: min_{u} ∫|∇u| + ΣD_p(u)<br>增广Lagrangian求解<br>GPU加速友好<br>实时分割",图像分割::论文
什么是交互式分割?,"用户提供种子/边界框<br>算法优化分割<br>结合先验和图像特征<br>半自动方法",图像分割::概念
DeepCut是什么?,"深度学习+Graph Cut<br>CNN提供外观模型<br>Graph Cut优化边界<br>端到端训练",图像分割::方法
什么是语义分割?,"每个像素分类<br>多类别问题<br>全卷积网络(FCN)<br>密集预测",图像分割::概念
实例分割与语义分割的区别?,"语义: 只分类像素<br>实例: 区分不同物体<br>例: 两个人分开标记<br>Mask R-CNN",图像分割::对比
什么是全景分割(Panoptic)?,"统一语义和实例分割<br>背景: 语义分割<br>前景物体: 实例分割<br>Panoptic FPN",图像分割::概念
U-Net的结构特点是什么?,"编码器-解码器结构<br>跳跃连接<br>适合医学图像<br>小数据集表现好",图像分割::方法
什么是特征金字塔网络(FPN)?,"多尺度特征融合<br>自顶向下+横向连接<br>金字塔特征图<br>适合多尺度物体",图像分割::方法
DeepLab的空洞卷积是什么?,"Atrous Convolution<br>扩大感受野<br>不增加参数<br>保持分辨率",图像分割::方法
DeepLab的ASPP是什么?,"Atrous Spatial Pyramid Pooling<br>多尺度空洞卷积并行<br>全局平均池化<br>捕获多尺度上下文",图像分割::方法
什么是条件随机场(CRF)后处理?,"全连接CRF<br>细化分割边界<br>成对势能考虑颜色和位置<br>均值场近似",图像分割::方法
注意力机制在分割中的作用?,"聚焦重要区域<br>通道注意力(SE)<br>空间注意力<br>自适应特征加权",图像分割::方法
什么是自注意力?,"Query-Key-Value机制<br>捕获长程依赖<br>计算复杂度O(n²)<br>Non-local模块",图像分割::方法
Transformer在分割中的应用?,"ViT+解码器<br>SETR, SegFormer等<br>全局上下文<br>大规模预训练",图像分割::方法
什么是边界损失?,"Boundary Loss<br>直接优化边界<br>基于距离变换<br>解决类别不平衡",图像分割::方法
Dice损失是什么?,"Dice = 2|X∩Y|/(|X|+|Y|)<br>区域重叠度量<br>对小目标友好<br>不均衡数据鲁棒",图像分割::方法
Tversky损失是什么?,"Tversky推广<br>控制FP和FN权重<br>T(α,β) = TP/(TP+αFP+βFN)<br>平衡精确率和召回率",图像分割::方法
什么是Focal Loss?,"FL = -α(1-p)^γ log(p)<br>降低易分样本权重<br>关注难分样本<br>γ=2典型值",图像分割::方法
弱监督分割的类型有哪些?,"1. 图像级标签<br>2. 边界框<br>3. 点标注<br>4. 涂鸦",图像分割::概念
CAM在弱监督分割中的作用?,"Class Activation Map<br>定位物体区域<br>生成伪标签<br>Grad-CAM改进",图像分割::方法
什么是亲和力传播?,"Affinity Net<br>学习像素相似性<br>扩展种子区域<br>弱监督训练",图像分割::方法
域适应分割的方法?,"1. 对抗训练<br>2. 特征对齐<br>3. 自训练<br>4. 风格迁移",图像分割::方法
3D医学图像分割的挑战是什么?,"- 数据量大<br>- 标注困难<br>- 类别不平衡<br>- 各向异性分辨率",图像分割::概念
V-Net的结构特点?,"3D U-Net变体<br>残差连接<br>Dice损失<br>前列腺分割",图像分割::方法
什么是nnU-Net?,"No New U-Net<br>自动配置网络<br>数据自适应预处理<br>医学分割SOTA",图像分割::方法
SLaT方法的Lifting阶段原理?,"RGB → RGB + Lab (6通道)<br>增加色彩区分度<br>Lab分离亮度和色度<br>改善颜色聚类",图像分割::论文
SLaT的Thresholding用什么方法?,"K-means聚类<br>在6D特征空间<br>自动确定类别数<br>Elbow方法选择K",图像分割::论文
SLaT的优势是什么?,"无需训练<br>快速执行<br>双色彩空间互补<br>变分平滑保边缘",图像分割::论文
SLaT的局限是什么?,"需要预设类别数<br>对复杂纹理效果有限<br>色彩空间固定<br>超参数敏感",图像分割::论文张量分解,张量分解,标签
什么是张量?,"多维数组<br>0阶: 标量<br>1阶: 向量<br>2阶: 矩阵<br>3阶+: 张量",张量分解::概念
张量的阶(order)和模态(mode)是什么?,"阶: 维度数量 (N-way)<br>模态: 第n个维度<br>例: 3阶张量有3个模态<br>视频: (高×宽×时间)",张量分解::概念
CP分解是什么?,"CANDECOMP/PARAFAC<br>T ≈ Σᵣ aᵣ ∘ bᵣ ∘ cᵣ<br>和秩-1张量<br>唯一性条件宽松",张量分解::方法
Tucker分解是什么?,"T ≈ G ×₁ A ×₂ B ×₃ C<br>G: 核心张量<br>A,B,C: 因子矩阵<br>高阶SVD",张量分解::方法
CP与Tucker的区别是什么?,"CP: 对角核心，秩-R<br>Tucker: 一般核心，(R₁,R₂,R₃)<br>CP更紧凑<br>Tucker更灵活",张量分解::对比
什么是张量秩?,"CP秩: 最小R使T可分解<br>秩计算是NP-hard<br>可能无闭式解<br>与矩阵秩不同",张量分解::概念
什么是n-模乘积?,"张量与矩阵在第n模态相乘<br>Y = T ×ₙ M<br>改变第n维度大小<br>Tucker分解核心操作",张量分解::公式
张量的矩阵化是什么?,"Matricization/Unfolding<br>将张量展开为矩阵<br>沿某模态排列<br>T(n): 第n模态展开",张量分解::概念
什么是Khatri-Rao积?,"列式Kronecker积<br>A ⊙ B = [a₁⊗b₁, a₂⊗b₂, ...]<br>CP分解的关键运算<br>用于展开公式",张量分解::公式
HOSVD是什么?,"Higher-Order SVD<br>每个模态做SVD<br>核心张量压缩<br>Tucker的特殊形式",张量分解::方法
HOSVD的计算复杂度是多少?,"O(I₁³ + I₂³ + ... + I_N³)<br>各模态SVD的代价<br>随维度立方增长<br>需要截断加速",张量分解::概念
ALS算法是什么?,"Alternating Least Squares<br>固定其他因子，优化一个<br>迭代收敛<br>CP分解标准方法",张量分解::方法
ALS的收敛性如何?,"目标函数单调下降<br>可能收敛到局部最优<br>依赖初始化<br>多随机重启",张量分解::概念
什么是张量补全?,"从部分观测恢复完整张量<br>利用低秩结构<br>矩阵补全的推广<br>推荐系统应用",张量分解::应用
张量补全的目标函数是什么?,"min rank(T) s.t. T_Ω = M_Ω<br>Ω: 观测索引集<br>rank非凸，用核范式松弛<br>优化困难",张量分解::公式
张量核范数是什么?,"张量SVD的核范数<br>多个矩阵核范式组合<br>凸松弛<br>不同定义版本",张量分解::概念
什么是TT分解?,"Tensor Train分解<br>T(i₁,...,i_N) = G₁(i₁)G₂(i₂)...G_N(i_N)<br>线性复杂度<br>避免维度灾难",张量分解::方法
TT秩是什么?,"TT分解的连接矩阵秩<br>r₀, r₁, ..., r_N<br>r₀=r_N=1<br>控制复杂度",张量分解::概念
什么是TR分解?,"Tensor Ring分解<br>TT的环形版本<br>首尾相连<br>更强表达能力",张量分解::方法
什么是HT分解?,"Hierarchical Tucker<br>树形层次结构<br>递归二分<br>适合张量网络",张量分解::方法
张量网络是什么?,"张量分解的图形表示<br>节点: 张量<br>边: 缩并指标<br>量子物理起源",张量分解::概念
张量列车与矩阵链乘法的联系?,"TT形如矩阵链<br>G_k是r_k×I_k×r_k+1<br>乘积得到元素<br>高效存储",张量分解::概念
什么是张量回归?,"Y = <T, X> + ε<br>高维特征映射<br>低秩约束<br>减少参数",张量分解::应用
张量PCA是什么?,"主成分分析的张量扩展<br>提取主要变化方向<br>降维<br>高阶相关性",张量分解::方法
张量在推荐系统中的应用?,"用户×物品×上下文<br>捕获三方交互<br>个性化推荐<br>时间动态",张量分解::应用
张量去噪的原理是什么?,"低秩假设<br>噪声破坏低秩结构<br>分解过滤噪声<br>重建干净张量",张量分解::应用
什么是张量卷积?,"高维卷积运算<br>张量核<br>时空特征提取<br>3D CNN基础",张量分解::应用
张量分解的并行算法?,"1. 分布式ALS<br>2. 随机梯度<br>3. 块坐标下降<br>4. ADMM",张量分解::方法
随机张量分解是什么?,"随机投影加速<br>近似SVD<br>可扩展性强<br>大规模数据",张量分解::方法
增量张量分解是什么?,"在线更新<br>流式数据<br>滑动窗口<br>时间序列",张量分解::方法
什么是非负张量分解?,"所有因子非负<br>NMF的张量扩展<br>可加性<br>部件学习",张量分解::方法
非负约束的优化方法?,"1. 乘法更新<br>2. 投影梯度<br>3. ADMM<br>4. 活跃集法",张量分解::方法
稀疏张量分解是什么?,"因子矩阵稀疏<br>L1正则化<br>可解释性强<br>高维数据",张量分解::方法
贝叶斯张量分解是什么?,"概率模型<br>自动确定秩<br>不确定性量化<br>GP先验",张量分解::方法
张量分解的初始化方法?,"1. 随机<br>2. SVD<br>3. HOSVD<br>4. 增量",张量分解::方法
如何选择张量秩?,"1. 交叉验证<br>2. 核一致性<br>3. AIC/BIC<br>4. 贝叶斯",张量分解::方法
什么是核心一致性?,"CORCONDIA<br>衡量CP拟合质量<br>高值(>80%)好<br>帮助选择R",张量分解::概念
张量分解的欠定问题是什么?,"多解情况<br>秩不唯一<br>退化<br>需要约束",张量分解::概念
旋转不确定性是什么?,"CP分解的排列和缩放自由度<br>A→AP, B→BP', C→CP''<br>PPP'=I<br>归一化处理",张量分解::概念
张量分解的唯一性条件是什么?,"k-rank条件<br>Kruskal定理<br>Σk_A ≥ 2R + (N-1)<br>比矩阵分解强",张量分解::概念
什么是Kruskal秩(k-rank)?,"k_A: 最大k使任意k列线性无关<br>唯一性的关键<br>比列秩更强<br>CP分解理论工具",张量分解::概念
张量在图像修复中的应用?,"图像块×行×列<br>低秩先验<br>填充缺失像素<br>非局部相似性",张量分解::应用
视频可以用什么张量表示?,"高×宽×时间×通道<br>4阶张量<br>时空相关性<br>压缩和去噪",张量分解::应用
张量在神经网络的压缩应用?,"全连接层: 矩阵→张量分解<br>卷积层: 4D核分解<br>减少参数<br>TT层",张量分解::应用
什么是TT层?,"Tensor Train Layer<br>权重用TT格式<br>参数O(NR²) vs O(N²)<br>巨幅压缩",张量分解::应用
张量分解在MRI的应用?,"动态MRI: x×y×t<br>低秩+稀疏<br>加速采集<br>压缩感知",张量分解::应用
张量在EEG分析中的应用?,"通道×时间×频率×受试者<br>脑电模式提取<br>BCI分类<br>时频分析",张量分解::应用
张量分解的计算软件?,"1. TensorLab (MATLAB)<br>2. Tensorly (Python)<br>3. TT-Toolbox<br>4. scikit-tensor",张量分解::工具
Tensorly的主要功能?,"Python库<br>CP, Tucker, TT<br>GPU支持<br>后端灵活",张量分解::工具
什么是张量环分解?,"Tensor Ring (TR)<br>循环连接<br>比TT更灵活<br>更低秩",张量分解::方法
张量分解的GPU加速?,"1. cuTensor<br>2. cuBLAS集成<br>3. 大矩阵乘法<br>4. 批处理操作",张量分解::方法正面,背面,标签
什么是3D重建?,"从2D图像恢复3D场景结构<br>相机位姿估计<br>点云生成<br>表面重建",3D视觉::概念
立体匹配的原理是什么?,"左右视图对应点<br>视差→深度<br>d = f·B/Z<br>基线距离影响精度",3D视觉::方法
立体匹配的基本步骤是什么?,"1. 极线校正<br>2. 代价计算<br>3. 代价聚合<br>4. 视差优化<br>5. 后处理",3D视觉::方法
什么是视差图?,"像素级对应关系<br>d = x_left - x_right<br>与深度反比<br>Z = f·B/d",3D视觉::概念
SGM算法是什么?,"Semi-Global Matching<br>多路径代价聚合<br>动态规划思想<br>实时立体匹配",3D视觉::方法
SGM的代价聚合公式是什么?,"S(p,d) = Σr Lr(p,d)<br>路径代价累加<br>P1, P2惩罚参数<br>平滑约束",3D视觉::公式
Census变换是什么?,"局部结构描述子<br>比较中心与邻域<br>汉明距离匹配<br>光照不变",3D视觉::方法
什么是深度估计?,"单图预测深度<br>学习驱动<br>相对深度/绝对深度<br>MiDaS, DPT",3D视觉::概念
单目深度估计的挑战?,"- 尺度模糊<br>- 透明/反光<br>- 纹理缺失<br>- 遮挡推理",3D视觉::概念
SLAM是什么?,"Simultaneous Localization and Mapping<br>同时定位与建图<br>机器人自主导航<br>实时性要求",3D视觉::概念
视觉SLAM的主要模块?,"1. 前端: 特征跟踪<br>2. 后端: 优化<br>3. 回环检测<br>4. 建图",3D视觉::方法
ORB-SLAM的特点?,"ORB特征<br>三线程架构<br>BA优化<br>回环检测",3D视觉::方法
什么是Bundle Adjustment?,"联合优化相机位姿和3D点<br>最小化重投影误差<br>非线性最小二乘<br>稀疏矩阵利用",3D视觉::方法
BA的目标函数是什么?,"min Σ||p_i - π(T_j, X_k)||²<br>p: 图像点<br>π: 投影函数<br>T: 相机位姿<br>X: 3D点",3D视觉::公式
什么是关键帧?,"代表性帧<br>减少计算量<br>场景变化时插入<br>BA的优化对象",3D视觉::概念
回环检测的作用?,"识别已访问位置<br>消除累积漂移<br>全局一致性<br>词袋模型",3D视觉::概念
词袋模型(BoW)是什么?,"视觉单词字典<br>图像表示为词频<br>快速检索<br>DBoW2库",3D视觉::方法
什么是IMU预积分?,"融合惯性测量<br>积分两帧间IMU<br>避免重新积分<br>流形优化",3D视觉::方法
VIO是什么?,"Visual-Inertial Odometry<br>视觉+IMU融合<br>VINS-Mono<br>ORB-SLAM3",3D视觉::概念
LiDAR与视觉融合的优势?,"LiDAR: 精确深度<br>视觉: 纹理语义<br>互补<br>鲁棒性提升",3D视觉::概念
什么是点云?,"3D点的集合<br>坐标+颜色+法向<br>激光扫描输出<br>无序数据结构",3D视觉::概念
PointNet的原理是什么?,"直接处理点云<br>共享MLP<br>对称函数(最大池化)<br>置换不变",3D视觉::方法
PointNet++的改进是什么?,"层次化特征学习<br>局部邻域聚合<br>多尺度分组<br>更细粒度",3D视觉::方法
什么是体素化?,"点云→3D网格<br>规则结构<br>3D卷积适用<br>内存消耗大",3D视觉::概念
3D卷积的计算量如何?,"O(D×H×W×C_in×C_out×K³)<br>计算密集<br>需要稀疏化<br>子流形卷积",3D视觉::概念
Sparse Convolution是什么?,"只在活跃体素计算<br>哈希表索引<br>大幅减少计算<br>MinkowskiNet",3D视觉::方法
什么是法向量估计?,"点云表面方向<br>局部PCA<br>邻域拟合平面<br>法向垂直平面",3D视觉::方法
点云分割的方法?,"1. PointNet系列<br>2. 图卷积<br>3. 体素+3D CNN<br>4. 投影+2D CNN",3D视觉::方法
什么是3D目标检测?,"3D边界框回归<br>点云输入<br>类+位置+尺寸+朝向<br>KITTI/nuScenes基准",3D视觉::概念
PointPillars的流程?,"1. 点云→伪图像<br>2. 2D CNN检测<br>3. 3D框解码<br>实时性好",3D视觉::方法
什么是BEV表示?,"Bird's Eye View<br>俯视图<br>避免透视畸变<br>统一尺度",3D视觉::概念
