正面,背面,标签
Yuan等人的连续最大流算法是什么?,"对偶形式: min_{u} ∫|∇u| + ΣD_p(u)<br>增广Lagrangian求解<br>GPU加速友好<br>实时分割",图像分割::论文
什么是交互式分割?,"用户提供种子/边界框<br>算法优化分割<br>结合先验和图像特征<br>半自动方法",图像分割::概念
DeepCut是什么?,"深度学习+Graph Cut<br>CNN提供外观模型<br>Graph Cut优化边界<br>端到端训练",图像分割::方法
什么是语义分割?,"每个像素分类<br>多类别问题<br>全卷积网络(FCN)<br>密集预测",图像分割::概念
实例分割与语义分割的区别?,"语义: 只分类像素<br>实例: 区分不同物体<br>例: 两个人分开标记<br>Mask R-CNN",图像分割::对比
什么是全景分割(Panoptic)?,"统一语义和实例分割<br>背景: 语义分割<br>前景物体: 实例分割<br>Panoptic FPN",图像分割::概念
U-Net的结构特点是什么?,"编码器-解码器结构<br>跳跃连接<br>适合医学图像<br>小数据集表现好",图像分割::方法
什么是特征金字塔网络(FPN)?,"多尺度特征融合<br>自顶向下+横向连接<br>金字塔特征图<br>适合多尺度物体",图像分割::方法
DeepLab的空洞卷积是什么?,"Atrous Convolution<br>扩大感受野<br>不增加参数<br>保持分辨率",图像分割::方法
DeepLab的ASPP是什么?,"Atrous Spatial Pyramid Pooling<br>多尺度空洞卷积并行<br>全局平均池化<br>捕获多尺度上下文",图像分割::方法
什么是条件随机场(CRF)后处理?,"全连接CRF<br>细化分割边界<br>成对势能考虑颜色和位置<br>均值场近似",图像分割::方法
注意力机制在分割中的作用?,"聚焦重要区域<br>通道注意力(SE)<br>空间注意力<br>自适应特征加权",图像分割::方法
什么是自注意力?,"Query-Key-Value机制<br>捕获长程依赖<br>计算复杂度O(n²)<br>Non-local模块",图像分割::方法
Transformer在分割中的应用?,"ViT+解码器<br>SETR, SegFormer等<br>全局上下文<br>大规模预训练",图像分割::方法
什么是边界损失?,"Boundary Loss<br>直接优化边界<br>基于距离变换<br>解决类别不平衡",图像分割::方法
Dice损失是什么?,"Dice = 2|X∩Y|/(|X|+|Y|)<br>区域重叠度量<br>对小目标友好<br>不均衡数据鲁棒",图像分割::方法
Tversky损失是什么?,"Tversky推广<br>控制FP和FN权重<br>T(α,β) = TP/(TP+αFP+βFN)<br>平衡精确率和召回率",图像分割::方法
什么是Focal Loss?,"FL = -α(1-p)^γ log(p)<br>降低易分样本权重<br>关注难分样本<br>γ=2典型值",图像分割::方法
弱监督分割的类型有哪些?,"1. 图像级标签<br>2. 边界框<br>3. 点标注<br>4. 涂鸦",图像分割::概念
CAM在弱监督分割中的作用?,"Class Activation Map<br>定位物体区域<br>生成伪标签<br>Grad-CAM改进",图像分割::方法
什么是亲和力传播?,"Affinity Net<br>学习像素相似性<br>扩展种子区域<br>弱监督训练",图像分割::方法
域适应分割的方法?,"1. 对抗训练<br>2. 特征对齐<br>3. 自训练<br>4. 风格迁移",图像分割::方法
3D医学图像分割的挑战是什么?,"- 数据量大<br>- 标注困难<br>- 类别不平衡<br>- 各向异性分辨率",图像分割::概念
V-Net的结构特点?,"3D U-Net变体<br>残差连接<br>Dice损失<br>前列腺分割",图像分割::方法
什么是nnU-Net?,"No New U-Net<br>自动配置网络<br>数据自适应预处理<br>医学分割SOTA",图像分割::方法
SLaT方法的Lifting阶段原理?,"RGB → RGB + Lab (6通道)<br>增加色彩区分度<br>Lab分离亮度和色度<br>改善颜色聚类",图像分割::论文
SLaT的Thresholding用什么方法?,"K-means聚类<br>在6D特征空间<br>自动确定类别数<br>Elbow方法选择K",图像分割::论文
SLaT的优势是什么?,"无需训练<br>快速执行<br>双色彩空间互补<br>变分平滑保边缘",图像分割::论文
SLaT的局限是什么?,"需要预设类别数<br>对复杂纹理效果有限<br>色彩空间固定<br>超参数敏感",图像分割::论文
