正面,背面,标签
Huber-TV是什么?,"混合L2-L1范数<br>小梯度: L2 (光滑)<br>大梯度: L1 (TV)<br>避免阶梯效应<br>平滑处理平坦区域",变分方法::概念
什么是阶梯效应(Staircase Effect)?,"TV去噪的常见伪影<br>平滑区域出现假边缘<br>形成阶梯状伪轮廓<br>Huber-TV可缓解",变分方法::概念
如何缓解阶梯效应?,"1. 高阶TV (TGV)<br>2. Huber-TV<br>3. 非局部TV<br>4. 自适应TV权重",变分方法::方法
什么是TGV (Total Generalized Variation)?,"TGV²_α(u) = α₁∫|∇u - v|dx + α₂∫|∇v|dx<br>二阶广义全变分<br>同时惩罚一阶和二阶导数<br>更好地保持光滑区域",变分方法::概念
ROF模型的凸性有什么意义?,"- 全局最优解<br>- 不依赖初始化<br>算法收敛保证<br>理论分析完善",变分方法::概念
什么是TV的次微分?,"∂TV(u) = {-div(p): p = ∇u/|∇u|, |∇u|>0}<br>在∇u=0处是多值的<br>非光滑优化的核心概念<br>用于构造最优性条件",变分方法::概念
Split Bregman迭代公式是什么?,"u^k+1 = argmin ||d^k - ∇u - b^k||² + λ||f-u||²<br>d^k+1 = shrink(∇u^k+1 + b^k, 1/λ)<br>b^k+1 = b^k + ∇u^k+1 - d^k+1",变分方法::公式
Shrinkage函数是什么?,"shrink(x, τ) = sign(x)·max(|x|-τ, 0)<br>软阈值算子<br>L1近端算子<br>TV优化的核心操作",变分方法::公式
什么是近端梯度法?,"x^k+1 = prox_{τg}(x^k - τ∇f(x^k))<br>处理f+g的复合优化<br>f光滑，g非光滑<br>TV问题中g=TV",变分方法::方法
ROF模型的参数λ如何选择?,"- 人工调参<br>- 交叉验证<br>- L-curve方法<br>- 基于噪声统计<br>λ越大越接近原图",变分方法::方法
什么是Morozov偏差原理?,"选择λ使||u-f|| = δ<br>δ: 噪声水平<br>平衡拟合与正则化<br>客观的参数选择准则",变分方法::概念
TV去噪的计算复杂度是多少?,"- Chambolle: O(N) 每次迭代<br>- Split Bregman: O(N)<br>- 总迭代数取决于λ<br>- 实际: O(50-200)次迭代",变分方法::概念
什么是Preconditioning加速?,"对PDE使用预条件子<br>加快收敛速度<br>常用: FFT-based预条件<br>对角预条件",变分方法::方法
TV在图像修复中的应用?,"min_u TV(u) + λ||u-f||²₂<br>在已知区域约束<br>未知区域由TV填充<br>保持边缘连续性",变分方法::应用
什么是加权TV?,"TV_w(u) = ∫w(x)|∇u|dx<br>w(x): 空间自适应权重<br>边缘处权重小<br>平坦区域权重大",变分方法::概念
TV与稀疏性的关系是什么?,"TV = L1范数在梯度域<br>促进梯度稀疏<br>分段常数图像<br>与压缩感知理论相关",变分方法::概念
什么是非局部TV?,"NLTV(u) = ∫∫w(x,y)|u(x)-u(y)|dydx<br>利用图像自相似性<br>更好的纹理保持<br>计算量更大",变分方法::概念
ROF模型的解存在性如何保证?,"BV空间完备<br>能量泛函强制<br>下半连续<br>直接法证明存在性",变分方法::概念
什么是Gamma收敛?,"能量泛函序列的收敛概念<br>保证最小化子收敛<br>近似理论的工具<br>用于分析离散化",变分方法::概念
TV的有限差分离散化是什么?,"TV_h(u) = Σ√((u_i+1,j - u_i,j)² + (u_i,j+1 - u_i,j)²)<br>前向差分<br>O(h)精度<br>简单但可能产生网格偏差",变分方法::公式
TV的有限元离散化是什么?,"在三角网格上定义TV<br>使用分片线性函数<br>更好的几何适应性<br>适合复杂区域",变分方法::方法
什么是TV的凸松弛?,"将非凸问题松弛为凸问题<br>例: 二值分割→Chan-Vese<br>保证全局最优<br>凸优化的核心思想",变分方法::概念
Chan-Vese模型的TV形式是什么?,"min_u TV(u) + λ∫(u-c₁)²H(u) + (u-c₂)²(1-H(u))<br>H: Heaviside函数<br>两相分割<br>凸松弛后可全局优化",变分方法::公式
什么是Mumford-Shah泛函?,"E(u,K) = ∫_Ω\K |∇u|²dx + λ∫_Ω(u-f)²dx + μ|K|<br>K: 边缘集合<br>分割和去噪统一<br>数学上困难(非凸)",变分方法::概念
Ambrosio-Tortorelli逼近是什么?,"用椭圆逼近Mumford-Shah<br>引入相场变量v<br>|K| ≈ ε|∇v|² + (1/4ε)(1-v)²<br>Γ-收敛到MS泛函",变分方法::方法
什么是水平集方法?,"用隐函数φ表示边界<br>C = {x: φ(x) = 0}<br>演化PDE驱动φ<br>自动处理拓扑变化",变分方法::方法
TV在图像去模糊中的应用?,"min_u TV(u) + λ||Au-f||²₂<br>A: 模糊算子<br>TV约束稳定化逆问题<br>边缘保持去模糊",变分方法::应用
什么是Bregman迭代?,"u^k+1 = argmin D_E^p(u^k, u)<br>D_E: Bregman距离<br>改善正则化偏差<br>逐步恢复细节",变分方法::方法
线性化Bregman迭代公式是什么?,"u^k+1 = τ·shrink(f - Au^k + v^k, λ)<br>v^k+1 = v^k + f - Au^k - u^k+1/τ<br>简单高效<br>适合大规模问题",变分方法::公式
什么是Split Bregman?,"Bregman迭代的分裂形式<br>分离L1和L2项<br>每个子问题有闭式解<br>高效处理复合优化",变分方法::方法
TV在CT重建中的应用?,"min_u TV(u) s.t. Au = f<br>A: Radon变换<br>TV约束改善欠采样重建<br>压缩感知CT的基础",变分方法::应用
什么是ROI重建?,"感兴趣区域重建<br>只重建部分区域<br>减少数据需求<br>TV正则化使问题适定",变分方法::应用
TV的变分形式有什么优势?,"- 物理意义清晰<br>- 数学理论完善<br>- 数值方法丰富<br>- 可扩展性强",变分方法::概念
什么是Primal-Dual方法?,"同时优化原问题和对偶问题<br>(x^k+1, y^k+1) = PD(x^k, y^k)<br>收敛快<br>适合非光滑问题",变分方法::方法
Chambolle-Pock算法是什么?,"经典的Primal-Dual算法<br>x^k+1 = prox_f(x^k - τK*y^k)<br>y^k+1 = prox_g*(y^k + σKx̄^k+1)<br>O(1/k)收敛率",变分方法::方法
什么是强凸性加速?,"当目标函数强凸时<br>线性收敛率<br>Chambolle-Pock加速版<br>O(1/k²)→O(exp(-k))",变分方法::方法
TV在MRI重建中的应用?,"min_u TV(u) + λ||Fu-f||²₂<br>F: 傅里叶采样<br>加速MRI扫描<br>压缩感知MRI的核心",变分方法::应用
什么是多尺度TV?,"在不同尺度计算TV<br>金字塔结构<br>捕获不同尺度特征<br>改善全局结构",变分方法::概念
TV与L2正则化的区别是什么?,"TV: 边缘保持，分段常数<br>L2: 光滑，可能模糊边缘<br>TV非光滑<br>L2光滑可微",变分方法::对比
什么是Group TV?,"向量值图像的TV<br>TV(u) = ∫√(Σ|∇u_i|²)dx<br>通道间耦合<br>彩色图像处理",变分方法::概念
TV在视频处理中的应用?,"时空TV: TV(u) = ∫√(|∇_xu|² + |∇_tu|²)dxdt<br>同时处理空间和时间<br>视频去噪和去模糊",变分方法::应用
什么是Infimal Convolution TV?,"TV₁ □ TV₂ = inf_x {TV₁(u-x) + TV₂(x)}<br>组合不同TV<br>更灵活的正则化<br>处理多特征",变分方法::概念
