Front,Back,Type,Category
Mumford-Shah and ROF Linkage,"SIAM J. Imaging Sci. 2018
核心贡献: 建立ROF与Mumford-Shah的数学联系
定理: ROF阈值化解是CV模型的部分最优解
参数关系: λ = 2μ(m₁-m₀)
意义: 统一去噪与分割的理论基础",论文卡,变分方法
Tucker分解,"Tucker分解是高阶张量的低秩近似方法。
公式: X ≈ G ×₁ U₁ ×₂ U₂ ×₃ U₃
G: 核心张量, U_i: 因子矩阵
别称: 高阶SVD (HOSVD)
应用: 降维、压缩、特征提取",概念卡,张量分解
Tensor Train分解,"Tensor Train (TT) 是张量的矩阵乘积表示。
公式: X(i₁,...,i_d) = G₁(i₁)·G₂(i₂)·...·G_d(i_d)
G_k: TT核心 (三阶张量)
优势: 线性存储复杂度
应用: 量子物理、高维数据",概念卡,张量分解
张量秩,"张量秩是多线性代数中的秩概念。
CP秩: 最小R使X = Σᵣ aᵣ⊗bᵣ⊗cᵣ
Tucker秩: (r₁,r₂,...,r_n) 各模态秩
Tubal秩: 基于t-product的秩
注意: 不同秩定义不等价",概念卡,张量分解
HOOI算法,"HOOI (Higher-Order Orthogonal Iteration) 是Tucker分解的标准算法。
步骤: (1) 初始化因子矩阵 (2) 交替优化各模态 (3) 计算核心张量
收敛: 目标函数单调不减
复杂度: O(n·r²·Πᵢdᵢ)",方法卡,张量分解
Sketching Tucker,"Sketching Tucker是随机化Tucker分解方法。
核心思想: 用随机投影降维后再分解
步骤: (1) 随机sketch (2) 投影子空间 (3) HOOI
论文: Cai et al., SIAM JSC 2023
优势: 单次遍历、内存高效",方法卡,张量分解
双边Sketching,"双边Sketching是大规模张量分解的高效方法。
原理: 张量左右两端同时sketch
变换: DCT变换域优化
论文: arXiv:2404.16580
加速: 相比单边sketching提升2-3倍",方法卡,张量分解
t-product,"t-product是基于DFT的张量乘法。
定义: A * B = fold(fft(A, [], 3) · fft(B, [], 3))
应用: 张量SVD、张量CUR
优势: 保持张量结构
论文: Kilmer et al.",方法卡,张量分解
Tucker分解公式,"X ≈ G ×₁ U₁ ×₂ U₂ ×₃ ... ×ₙ Uₙ

X: 原始张量 (d₁×...×dₙ)
G: 核心张量 (r₁×...×rₙ)
U_k: 第k模态因子矩阵 (d_k×r_k)
×_k: 模态-k乘积",公式卡,张量分解
Tensor Train分解公式,"X(i₁,...,i_d) ≈ G₁(i₁)·G₂(i₂)·...·G_d(i_d)

G_k(i_k): 第k个TT核心 (r_{k-1}×d_k×r_k)
存储: O(d·n·r²) vs O(n^d)
r_k: TT秩
边界: r₀ = r_d = 1",公式卡,张量分解
HOSVD公式,"X = S ×₁ U₁ ×₂ U₂ ×₃ U₃

S: 核心张量 (全奇异值)
U_k: 左奇异向量矩阵
计算: 每个模态做矩阵SVD
性质: S具有全序性",公式卡,张量分解
Sketching误差界公式,"||X - X̃||_F ≤ (1+ε)||X - X_r||_F

X̃: Sketching近似
X_r: 最优秩-r近似
ε: 近似误差因子
条件: sketch尺寸足够大",公式卡,张量分解
CUR分解公式,"A ≈ C·U·R

C: 选中的列 (m×c)
R: 选中的行 (r×n)
U: 联系矩阵 (c×r)
选择: 基于杠杆分数抽样",公式卡,张量分解
Tucker vs CP分解,"| 特性 | Tucker | CP |
|------|--------|-----|
| 核心张量 | 稠密 | 对角 |
| 因子矩阵 | 每模态一个 | 每模态一个 |
| 秩表示 | 多秩(r₁,...,rₙ) | 标量R |
| 唯一性 | 不唯一 | 可唯一 |",对比卡,张量分解
Tucker vs Tensor Train,"| 特性 | Tucker | Tensor Train |
|------|--------|--------------|
| 存储复杂度 | O(Πr·Σd) | O(d·r²·n) |
| 高维扩展 | 指数增长 | 线性增长 |
| 最优性 | 局部最优 | 局部最优 |
| 适用维度 | 低维 | 高维 |",对比卡,张量分解
HOOI vs Sketching Tucker,"| 特性 | HOOI | Sketching Tucker |
|------|------|------------------|
| 遍历次数 | 多次迭代 | 单次遍历 |
| 内存需求 | 高 | 低 |
| 精度 | 高 | 近似 |
| 大规模数据 | 慢 | 快 |",对比卡,张量分解
CP vs CUR分解,"| 特性 | CP | CUR |
|------|-----|-----|
| 元素来源 | 潜在因子 | 原始数据 |
| 可解释性 | 低 | 高 |
| 稀疏保持 | 不保持 | 保持 |
| 计算复杂度 | 高 | 中 |",对比卡,张量分解
Practical Sketching Tucker Approximation,"SIAM J. Sci. Comput. 2023
核心贡献: 单次遍历的随机Tucker分解
方法: Sketching + 子空间幂迭代
创新: Sketch-STHOSVD算法
优势: 处理超大规模张量",论文卡,张量分解
Tensor Train Approximation,"arXiv:2308.01480 (2023)
核心贡献: 随机化Tensor Train分解
方法: 交替最小二乘 + sketching
创新: 自适应秩估计
应用: 高维函数逼近",论文卡,张量分解
Two-Sided Sketching for Tensor,"arXiv:2404.16580 (2024)
核心贡献: 双边sketching加速张量分解
方法: DCT变换域优化
创新: ⋆_L-product理论框架
加速: 相比单边提升2-3倍",论文卡,张量分解
tCURLoRA: Tensor CUR LoRA,"arXiv:2501.02227 (2025)
核心贡献: 张量CUR用于参数高效微调
方法: 权重张量化 + CUR分解
创新: 仅训练核心张量
应用: 医学图像迁移学习",论文卡,张量分解
LoRA,"LoRA (Low-Rank Adaptation) 是参数高效微调方法。
原理: 冻结预训练权重，训练低秩增量
公式: W' = W + BA, B∈R^{d×r}, A∈R^{r×k}
优势: 参数量减少10-100倍
应用: 大模型微调",概念卡,深度学习
Few-Shot Learning,"Few-Shot Learning是小样本学习方法。
定义: 从少量样本(1-5个)学习新类别
方法: 元学习、迁移学习、数据增强
挑战: 过拟合、泛化
应用: 医学影像、稀有类别",概念卡,深度学习
扩散模型,"扩散模型是基于随机微分方程的生成模型。
前向: 逐步添加噪声 q(x_t|x_{t-1})
逆向: 学习去噪过程 p_θ(x_{t-1}|x_t)
训练: 预测噪声 ε_θ(x_t, t)
代表: DDPM, Score-based models",概念卡,深度学习
Mamba架构,"Mamba是状态空间模型(SSM)用于序列建模。
核心: 选择性状态空间
公式: h_t = Ah_{t-1} + Bx_t, y_t = Ch_t
优势: 线性复杂度、长序列建模
应用: 语言模型、时序预测",概念卡,深度学习
Neural Varifolds,"Neural Varifolds是点云几何的神经表示方法。
原理: 用测度理论表示点云
输入: 点位置 + 法向量
输出: 几何特征/分类
论文: arXiv:2407.04844",概念卡,深度学习
PEFT,"PEFT (Parameter-Efficient Fine-Tuning) 是高效微调方法族。
方法: LoRA, Prefix Tuning, Adapter
原理: 冻结大部分参数，训练少量参数
优势: 节省存储、快速适配
应用: 大模型定制化",概念卡,深度学习
迁移学习,"迁移学习是将源域知识迁移到目标域。
类型: 归纳式、转导式、无监督
策略: 微调、特征提取、领域适应
关键: 域差异度量
应用: 跨数据集、跨任务",概念卡,深度学习
HiFi-Mamba MRI重建,"HiFi-Mamba是MRI重建的状态空间模型。
架构: 层次化Mamba + 频域处理
输入: 欠采样k空间数据
输出: 重建MRI图像
论文: arXiv:2508.09179",方法卡,深度学习
tCURLoRA算法,"tCURLoRA是张量化的LoRA方法。
步骤: (1) 堆叠权重为张量 (2) CUR分解 (3) 训练核心U
公式: W = C × U × R
优势: 比LoRA更少参数
论文: MICCAI 2025",方法卡,深度学习
GAMED虚假新闻检测,"GAMED是多模态虚假新闻检测框架。
组件: Graph + Attention + Multi-modal
输入: 文本 + 图像
输出: 真/假分类
论文: arXiv:2412.12164",方法卡,深度学习
TransNet HAR,"TransNet是基于Transformer的人体活动识别。
架构: 时序Transformer + 迁移学习
输入: 传感器时序数据
输出: 活动类别
论文: arXiv:2309.06951",方法卡,深度学习
Proximal Nested Sampling,"Proximal Nested Sampling是贝叶斯推断方法。
核心: 近端算子 + 嵌套采样
应用: 高维后验采样
优势: 处理非高斯先验
论文: arXiv:2106.03646",方法卡,深度学习
扩散模型去噪公式,"x_{t-1} = (1/√ᾱ_t)(x_t - (1-ᾱ_t)/√ᾱ_t · ε_θ(x_t,t)) + σ_t z

x_t: 第t步噪声图像
ε_θ: 预测的噪声
ᾱ_t: 累积噪声调度
σ_t: 噪声方差",公式卡,深度学习
LoRA权重更新公式,"W' = W + ΔW = W + BA

W: 冻结的预训练权重 (d×k)
B: 可训练矩阵 (d×r)
A: 可训练矩阵 (r×k)
r << min(d,k): 低秩约束",公式卡,深度学习
Mamba状态更新公式,"h_t = Āh_{t-1} + B̄x_t
y_t = Ch_t

h_t: 隐状态 (N维)
Ā, B̄: 离散化参数
C: 输出矩阵
x_t: 输入token",公式卡,深度学习
交叉熵损失公式,"L = -Σᵢ y_i log(p_i)

y_i: 真实标签 (one-hot)
p_i: 预测概率
应用: 分类任务
变体: 带权交叉熵",公式卡,深度学习
Focal Loss公式,"FL(p_t) = -α_t(1-p_t)^γ log(p_t)

p_t: 正确类别的预测概率
α_t: 类别权重
γ: 聚焦参数 (通常2)
用途: 处理类别不平衡",公式卡,深度学习
LoRA vs Full Fine-tuning,"| 特性 | LoRA | Full FT |
|------|------|---------|
| 可训练参数 | 0.1-1% | 100% |
| 内存需求 | 低 | 高 |
| 训练速度 | 快 | 慢 |
| 性能上限 | 略低 | 最高 |",对比卡,深度学习
Mamba vs Transformer,"| 特性 | Mamba | Transformer |
|------|-------|-------------|
| 复杂度 | O(n) | O(n²) |
| 长序列 | 优秀 | 受限 |
| 并行性 | 训练时 | 全程 |
| 可解释性 | 较低 | 较高 |",对比卡,深度学习
扩散 vs GAN,"| 特性 | 扩散模型 | GAN |
|------|----------|-----|
| 训练稳定性 | 稳定 | 不稳定 |
| 生成质量 | 高 | 可变 |
| 采样速度 | 慢 | 快 |
| 模式覆盖 | 全面 | 可能遗漏 |",对比卡,深度学习
Few-Shot vs Zero-Shot,"| 特性 | Few-Shot | Zero-Shot |
|------|----------|-----------|
| 目标类别样本 | 1-5个 | 0个 |
| 依赖 | 元学习 | 预训练知识 |
| 性能 | 较高 | 依赖模型 |
| 灵活性 | 中 | 高 |",对比卡,深度学习
HiFi-Mamba MRI Reconstruction,"arXiv:2508.09179 (2025)
核心贡献: 层次化Mamba用于MRI重建
方法: 多尺度状态空间模型
创新: 频域 + 空域联合处理
效果: 加速3-5倍采样",论文卡,深度学习
HiFi-MambaV2 Hierarchical MRI,"arXiv:2511.18534 (2025)
核心贡献: HiFi-Mamba的改进版本
方法: 更深的层次化结构
创新: 自适应扫描模式
效果: PSNR提升1-2dB",论文卡,深度学习
Few-shot Medical Imaging Inference,"arXiv:2306.11152 (2023)
核心贡献: 医学影像小样本学习
方法: 元学习 + 数据增强
创新: 不确定性感知
应用: 罕见疾病诊断",论文卡,深度学习
Non-negative Subspace Few-Shot,"arXiv:2404.02656 (2024)
核心贡献: 非负子空间约束
方法: 非负矩阵分解 + 原型网络
创新: 可解释的嵌入
效果: 5-shot提升3-5%",论文卡,深度学习
TransNet Transfer Learning HAR,"arXiv:2309.06951 (2023)
核心贡献: Transformer迁移学习HAR
方法: 预训练 + 领域适应
创新: 跨传感器迁移
应用: 可穿戴设备",论文卡,深度学习
3D点云,"3D点云是三维空间中的点集合。
表示: P = {(x_i, y_i, z_i, f_i)}
f_i: 可选特征(颜色、法向量等)
获取: LiDAR、深度相机、RGB-D
挑战: 无序性、稀疏性、噪声",概念卡,3D视觉
NeRF,"NeRF (Neural Radiance Fields) 是神经场景表示方法。
原理: MLP表示连续5D函数 F(x,y,z,θ,φ) → (RGB,σ)
渲染: 体渲染积分
优势: 连续表示、新视角合成
应用: 3D重建、VR/AR",概念卡,3D视觉
LiDAR,"LiDAR是激光雷达传感技术。
原理: 激光脉冲测距
数据: 3D点云 + 强度
类型: 机械式、固态
应用: 自动驾驶、测绘、机器人",概念卡,3D视觉
3D目标检测,"3D目标检测是在点云中定位和分类物体。
输入: 点云 / RGB-D
输出: 3D边界框 + 类别
方法: Point-based, Voxel-based
挑战: 遮挡、稀疏、尺度变化",概念卡,3D视觉
多目标跟踪,"多目标跟踪是视频中物体的时序关联。
任务: 检测 + 关联 + 轨迹管理
方法: TBD (Tracking-by-Detection)
挑战: ID切换、遮挡、重入
指标: MOTA, MOTP, ID switches",概念卡,3D视觉
3D人体运动生成,"3D人体运动生成是合成人体动作序列。
输入: 文本/音频/参考动作
输出: 3D关节角度序列
方法: VAE, 扩散模型, Transformer
评估: FID, 多样性, 物理合理性",概念卡,3D视觉
3D Orientation Field Transform,"3D OFT是3D方向场的变换方法。
原理: 扩展2D方向场到3D
应用: 3D纹理分析、曲面分割
论文: Pattern Anal. Appl. 2020
创新: 各向异性3D特征提取",方法卡,3D视觉
3D Tree Segmentation MCGC,"MCGC是3D树木分割的多类图割方法。
输入: LiDAR点云
方法: 图构建 + 多类图割优化
创新: 处理复杂森林场景
论文: IEEE TGRS 2019",方法卡,3D视觉
Neural Varifolds算法,"Neural Varifolds的点云处理算法。
输入: 点位置 P + 法向量 N
网络: PointNet风格的编码器
输出: 几何特征 / 分类
优势: 旋转不变性",方法卡,3D视觉
CornerPoint3D检测,"CornerPoint3D是基于角点的3D检测。
核心: 角点作为3D框表示
方法: 角点检测 + 框回归
创新: 更精确的框定位
论文: arXiv:2504.02464",方法卡,3D视觉
NeRF体渲染公式,"C(r) = ∫_{t_n}^{t_f} T(t)σ(r(t))c(r(t))dt

T(t) = exp(-∫_{t_n}^{t}σ(r(s))ds)
r(t): 射线上的点
σ: 体密度
c: 颜色
T: 透射率",公式卡,3D视觉
3D边界框表示,"B = (x, y, z, l, w, h, θ, φ, ψ)

(x,y,z): 中心坐标
(l,w,h): 长宽高
(θ,φ,ψ): 欧拉角(偏航/俯仰/翻滚)
8个自由度",公式卡,3D视觉
IoU 3D公式,"IoU_3D = |B₁ ∩ B₂| / |B₁ ∪ B₂|

计算: 两个3D框的交集体积 / 并集体积
范围: [0, 1]
用途: 3D检测评估
变体: GIoU, DIoU",公式卡,3D视觉
PointNet核心公式,"global_feat = max_pool({h_i})

h_i = MLP(point_i)
max_pool: 最大池化(置换不变)
point_i: 单点特征
输出: 全局点云特征",公式卡,3D视觉
3D人体姿态表示,"pose = (J_1, J_2, ..., J_K)

J_k = (x_k, y_k, z_k): 第k个关节坐标
K: 关节数(通常17-24)
自由度: 3K
归一化: 通常相对于根关节",公式卡,3D视觉
Point-based vs Voxel-based,"| 特性 | Point-based | Voxel-based |
|------|-------------|-------------|
| 输入表示 | 原始点 | 体素网格 |
| 内存效率 | 高 | 低(立方增长) |
| 细节保留 | 高 | 有损 |
| CNN适用性 | 需特殊设计 | 直接适用 |",对比卡,3D视觉
3D Tree Graph Cut vs MCGC,"| 特性 | Graph Cut | MCGC |
|------|-----------|------|
| 类别数 | 2类 | 多类 |
| 树木分离 | 单棵 | 多棵 |
| 复杂度 | 低 | 高 |
| 场景类型 | 简单 | 复杂森林 |",对比卡,3D视觉
3D检测 vs 2D检测,"| 特性 | 3D检测 | 2D检测 |
|------|--------|--------|
| 输出 | 3D框 | 2D框 |
| 遮挡处理 | 需推理 | 不可见 |
| 传感器 | LiDAR/RGB-D | 相机 |
| 计算量 | 大 | 小 |",对比卡,3D视觉
MOGO vs MotionDuet,"| 特性 | MOGO | MotionDuet |
|------|------|------------|
| 输入 | 文本 | 文本+参考 |
| 交互 | 单人 | 双人 |
| 生成质量 | 高 | 更高 |
| 交互建模 | 无 | 显式 |",对比卡,3D视觉
3D Tree Delineation Graph Cut,"Remote Sens. Environ. 2017
核心贡献: 图割方法进行3D树木描绘
方法: LiDAR点云 + 图割优化
创新: 单木分割算法
应用: 林业资源调查",论文卡,3D视觉
3D Tree Segmentation MCGC,"IEEE TGRS 2019
核心贡献: 多类图割进行森林分割
方法: MCGC扩展到3D点云
创新: 处理重叠树冠
效果: 分割精度提升10%",论文卡,3D视觉
3D Orientation Field Transform,"Pattern Anal. Appl. 2020
核心贡献: 3D方向场的数学变换
方法: 各向异性小波
创新: 扩展2D OFT到3D
应用: 3D纹理和曲面分析",论文卡,3D视觉
Detect Closer Surfaces 3D,"arXiv:2407.04061 (2024)
核心贡献: 检测可见最近表面
方法: 深度估计 + 遮挡推理
创新: 处理遮挡问题
应用: 自动驾驶感知",论文卡,3D视觉
Neural Varifolds Point Cloud,"arXiv:2407.04844 (2025)
核心贡献: 点云几何的神经表示
方法: 测度理论 + 神经网络
创新: 旋转不变的几何编码
应用: 点云分类、分割",论文卡,3D视觉
CornerPoint3D Detection,"arXiv:2504.02464 (2025)
核心贡献: 基于角点的3D检测
方法: 角点检测 + 框回归
创新: 更精确的边界框
效果: mAP提升2-3%",论文卡,3D视觉
Cross-Domain LiDAR Detection,"arXiv:2408.12708 (2024)
核心贡献: 跨域LiDAR目标检测
方法: 域适应 + 数据增强
创新: 处理不同LiDAR传感器
应用: 自动驾驶泛化",论文卡,3D视觉
MOGO 3D Motion Generation,"arXiv:2506.05952 (2025)
核心贡献: 文本到3D运动生成
方法: 扩散模型 + 运动先验
创新: 长序列一致性
应用: 动画、虚拟人",论文卡,3D视觉
GRASPTrack Multi-Object Tracking,"arXiv:2508.08117 (2025)
核心贡献: 多目标跟踪框架
方法: Transformer + 关联学习
创新: 端到端跟踪
应用: 视频分析",论文卡,3D视觉
3D Growth Trajectory Reconstruction,"arXiv:2511.02142 (2025)
核心贡献: 3D生长轨迹重建
方法: 时序点云 + 形变建模
创新: 生物生长建模
应用: 植物/动物发育",论文卡,3D视觉
MotionDuet 3D Motion,"arXiv:2511.18209 (2025)
核心贡献: 双人交互运动生成
方法: 条件扩散 + 交互建模
创新: 社交感知运动
应用: 动画、VR",论文卡,3D视觉
MRI重建,"MRI重建是从欠采样数据恢复完整图像。
问题: 加速采样导致混叠伪影
方法: 并行成像、压缩感知、深度学习
挑战: 保持诊断质量
目标: 减少扫描时间",概念卡,医学影像
医学图像分割,"医学图像分割是划分解剖结构或病灶。
任务: 器官分割、肿瘤分割、血管分割
模态: CT, MRI, 超声, X-ray
挑战: 边界模糊、类间相似
指标: Dice, IoU, Hausdorff距离",概念卡,医学影像
医学报告生成,"医学报告生成是自动生成影像诊断报告。
输入: 医学图像
输出: 结构化文本报告
方法: 编码器-解码器、Transformer
挑战: 准确性、专业性、一致性",概念卡,医学影像
脑肿瘤分割,"脑肿瘤分割是划分MRI中的肿瘤区域。
模态: T1, T1ce, T2, FLAIR
挑战: 边界不规则、异质性
数据集: BraTS
指标: Dice per region",概念卡,医学影像
血管分割,"血管分割是提取医学图像中的血管结构。
应用: 诊断、手术规划
方法: 框架小波、水平集、深度学习
挑战: 细小血管、分叉点
论文: Cai et al., 2011",概念卡,医学影像
Tight-Frame血管分割,"使用紧框架小波进行血管分割。
原理: 多尺度方向性分析
方法: 框架分解 + 阈值化 + 框架重构
论文: SIAM J. Imaging Sci. 2011
应用: MRA/CTA血管提取",方法卡,医学影像
IIHT医学报告生成,"IIHT是迭代交互的医学报告生成方法。
方法: 图像编码 + 迭代文本生成
创新: 人机交互式生成
论文: arXiv:2308.05633
应用: 放射科报告",方法卡,医学影像
Diffusion Brain MRI,"基于扩散模型的脑MRI处理方法。
应用: 重建、增强、合成
方法: 条件扩散 + 医学先验
论文: arXiv:2405.04974
创新: 差异性感知",方法卡,医学影像
Dice系数公式,"Dice = 2|A ∩ B| / (|A| + |B|)

A: 预测分割
B: 真实标注
范围: [0, 1], 1最佳
用途: 医学图像分割评估",公式卡,医学影像
Hausdorff距离公式,"H(A,B) = max(h(A,B), h(B,A))
h(A,B) = max_{a∈A} min_{b∈B} ||a-b||

A,B: 两个点集
含义: 最大最近邻距离
用途: 边界误差评估
变体: 95百分位Hausdorff",公式卡,医学影像
敏感性/特异性公式,"Sensitivity = TP / (TP + FN)
Specificity = TN / (TN + FP)

TP: 真阳性, TN: 真阴性
FP: 假阳性, FN: 假阴性
Sensitivity: 检出率
Specificity: 排除率",公式卡,医学影像
k空间采样公式,"k-space: K(k_x, k_y) = ∫∫ I(x,y) e^{-i2π(k_x x + k_y y)} dx dy

I(x,y): 图像空间
K(k_x,k_y): 频率空间(k空间)
关系: 互为傅里叶变换
欠采样: 加速成像",公式卡,医学影像
PSNR/SSIM公式,"PSNR = 10 log₁₀(MAX²/MSE)
SSIM = (2μ_xμ_y + C₁)(2σ_xy + C₂) / ((μ_x²+μ_y²+C₁)(σ_x²+σ_y²+C₂))

PSNR: 峰值信噪比(dB)
SSIM: 结构相似性[0,1]
用途: 图像质量评估
医学: MRI重建评估",公式卡,医学影像
传统方法 vs 深度学习分割,"| 特性 | 传统方法 | 深度学习 |
|------|----------|----------|
| 特征 | 手工设计 | 自动学习 |
| 数据需求 | 少 | 多 |
| 可解释性 | 高 | 低 |
| 精度 | 中 | 高 |",对比卡,医学影像
2D vs 3D医学分割,"| 特性 | 2D分割 | 3D分割 |
|------|--------|--------|
| 输入 | 单切片 | 完整体积 |
| 上下文 | 有限 | 丰富 |
| 计算量 | 小 | 大 |
| 连续性 | 差 | 好 |",对比卡,医学影像
监督 vs 弱监督分割,"| 特性 | 监督 | 弱监督 |
|------|------|--------|
| 标注类型 | 像素级 | 图像级/框/点 |
| 标注成本 | 高 | 低 |
| 性能上限 | 高 | 较低 |
| 可用数据 | 少 | 多 |",对比卡,医学影像
MRI vs CT,"| 特性 | MRI | CT |
|------|-----|-----|
| 成像原理 | 磁共振 | X射线 |
| 软组织对比 | 高 | 低 |
| 骨骼显示 | 差 | 好 |
| 扫描时间 | 长 | 短 |",对比卡,医学影像
Tight-Frame Vessel Segmentation,"SIAM J. Imaging Sci. 2011
核心贡献: 紧框架小波血管分割
方法: 框架分解+阈值化+重构
创新: 多尺度方向性分析
应用: MRA/CTA血管提取",论文卡,医学影像
Few-shot Medical Imaging Inference,"arXiv:2306.11152 (2023)
核心贡献: 医学影像小样本推理
方法: 元学习+不确定性估计
创新: 罕见病诊断
效果: 5-shot达到监督80%性能",论文卡,医学影像
Discrepancy-based Diffusion Brain MRI,"arXiv:2405.04974 (2024)
核心贡献: 扩散模型脑MRI处理
方法: 差异性感知扩散
创新: 域适应能力
应用: 脑肿瘤检测",论文卡,医学影像
